incident_id,title,description,priority,status,reported_by,reported_date,resolved_by,resolved_date,resolution_notes,affected_app,affected_microservice,cpu_usage,memory_usage,related_incidents,kb_article_id
INC844121,Failed transactions in Payment Service,Transactions in Payment Service are failing due to database issues.,Low,Resolved,Kristina Gonzales,17-06-2024 06:21,Stephanie Lewis,03-11-2024 03:40,Fixed memory leak in Payment Service.,Backend API,Payment Service,49.32,10.78,,KB070
INC679492,Notification failure in Auth Service,"Auth Service is unresponsive, causing service degradation.",Medium,Open,Terry Prince,07-11-2024 17:35,,,,Backend API,Auth Service,89.99,43.69,,KB007
INC111135,Failed transactions in Database B,Transactions in Database B are failing due to database issues.,High,Resolved,Diane Sullivan,01-01-2025 00:40,Nina Alexander,17-03-2025 21:53,Restarted Database B.,Backend API,Database B,61.03,63.16,"INC280486, INC177125",KB021
INC897262,Memory leak in Database B,A deadlock in Database B is blocking critical operations.,Low,Resolved,Melinda Hatfield,31-05-2024 22:25,Keith Wright,28-12-2024 10:11,Fixed memory leak in Database B.,Online Banking App,Database B,85.75,70.01,,
INC765698,Database deadlock in Notification Service,API requests to Notification Service are failing with 500 errors.,High,Open,Melissa Matthews,04-12-2024 15:54,,,,Mobile Banking App,Notification Service,93.4,54.9,,KB084
INC934599,Memory leak in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Medium,Open,Denise Johnson,23-01-2025 19:52,,,,Mobile Banking App,Database B,25.05,13.9,,
INC163042,Failed transactions in Auth Service,"Auth Service is unresponsive, causing service degradation.",Critical,Resolved,Erica Bauer,21-12-2024 11:37,Danielle Stephenson,23-02-2025 05:24,Resolved database deadlock in Auth Service.,Backend API,Auth Service,78.17,53.27,,
INC434389,Database deadlock in Payment Service,"Payment Service is unresponsive, causing service degradation.",High,Resolved,Angela Brooks,19-01-2025 20:57,Chad Valdez,05-02-2025 20:01,Restarted Payment Service.,Mobile Banking App,Payment Service,56.04,93.93,,
INC640840,API latency spike in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Medium,Open,Lauren Banks,14-10-2024 10:51,,,,Online Banking App,Database B,25.54,54.54,,
INC749421,API latency spike in Auth Service,Connection attempts to Auth Service are timing out.,Medium,In Progress,Michael Jackson,19-06-2024 14:06,,,,Mobile Banking App,Auth Service,78.71,99.25,"INC219294, INC253065",KB045
